,model,tn,fp,fn,tp,accuracy,recall,f1_score
0,Logistic Regression,424038,386,3,6117,0.9990964918800401,0.9995098039215686,0.9691832369484275
1,SVM,424289,135,297,5823,0.9989966182318184,0.9514705882352941,0.9642324888226528
